Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22pF","C_0402_1005Metric",254.662500,-52.387500,90.000000,bottom
"C2","22pF","C_0402_1005Metric",250.162500,-53.349375,90.000000,bottom
"C3","4.7nF","C_0402_1005Metric",138.978750,18.072500,-90.000000,bottom
"C4","100nF","C_0402_1005Metric",270.462500,-28.986000,-90.000000,bottom
"C5","1uF","C_0402_1005Metric",149.638750,7.012500,0.000000,bottom
"C6","1uF","C_0402_1005Metric",149.638750,2.512500,0.000000,bottom
"C7","1uF","C_0402_1005Metric",245.842500,-36.425000,180.000000,bottom
"C8","100nF","C_0402_1005Metric",252.912500,-33.337500,90.000000,bottom
"C9","100nF","C_0402_1005Metric",244.842500,-52.387500,-90.000000,bottom
"C10","4.7uF","C_0402_1005Metric",149.638750,1.512500,0.000000,bottom
"C11","1uF","C_0402_1005Metric",245.842500,-37.425000,180.000000,bottom
"C12","100nF","C_0402_1005Metric",250.912500,-33.337500,90.000000,bottom
"C13","100nF","C_0402_1005Metric",251.912500,-33.337500,90.000000,bottom
"C14","100nF","C_0402_1005Metric",253.912500,-33.337500,90.000000,bottom
"C15","100nF","C_0402_1005Metric",245.842500,-38.425000,180.000000,bottom
"C16","100nF","C_0402_1005Metric",245.842500,-39.425000,180.000000,bottom
"C17","100nF","C_0402_1005Metric",258.982500,-39.425000,0.000000,bottom
"C18","100nF","C_0402_1005Metric",245.842500,-43.862500,180.000000,bottom
"C19","100nF","C_0402_1005Metric",258.982500,-43.862500,0.000000,bottom
"C20","100nF","C_0402_1005Metric",246.842500,-52.387500,-90.000000,bottom
"D2","D_Small","D_SOD-123",22.150000,-1.650000,90.000000,bottom
"D3","D_Small","D_SOD-123",41.200000,-1.650000,90.000000,bottom
"D4","D_Small","D_SOD-123",60.250000,-1.650000,90.000000,bottom
"D5","D_Small","D_SOD-123",79.300000,-1.650000,90.000000,bottom
"D6","D_Small","D_SOD-123",98.350000,-1.650000,90.000000,bottom
"D7","D_Small","D_SOD-123",117.400000,-1.650000,90.000000,bottom
"D8","D_Small","D_SOD-123",174.550000,3.112500,90.000000,bottom
"D9","D_Small","D_SOD-123",193.600000,3.112500,90.000000,bottom
"D10","D_Small","D_SOD-123",206.450000,3.112500,90.000000,bottom
"D11","D_Small","D_SOD-123",231.700000,3.112500,90.000000,bottom
"D12","D_Small","D_SOD-123",255.512500,3.112500,90.000000,bottom
"D13","D_Small","D_SOD-123",274.562500,3.112500,90.000000,bottom
"D14","D_Small","D_SOD-123",293.612500,3.112500,90.000000,bottom
"D15","D_Small","D_SOD-123",3.100000,-20.700000,90.000000,bottom
"D16","D_Small","D_SOD-123",22.150000,-20.700000,90.000000,bottom
"D17","D_Small","D_SOD-123",41.200000,-20.700000,90.000000,bottom
"D18","D_Small","D_SOD-123",60.250000,-20.700000,90.000000,bottom
"D19","D_Small","D_SOD-123",79.300000,-20.700000,90.000000,bottom
"D20","D_Small","D_SOD-123",98.350000,-20.700000,90.000000,bottom
"D21","D_Small","D_SOD-123",117.400000,-20.700000,90.000000,bottom
"D22","D_Small","D_SOD-123",136.450000,-20.700000,90.000000,bottom
"D23","D_Small","D_SOD-123",155.500000,-20.700000,90.000000,bottom
"D24","D_Small","D_SOD-123",174.550000,-20.700000,90.000000,bottom
"D25","D_Small","D_SOD-123",193.600000,-20.700000,90.000000,bottom
"D26","D_Small","D_SOD-123",206.450000,-20.700000,90.000000,bottom
"D27","D_Small","D_SOD-123",231.700000,-20.700000,90.000000,bottom
"D28","D_Small","D_SOD-123",255.512500,-15.937500,90.000000,bottom
"D29","D_Small","D_SOD-123",274.562500,-15.937500,90.000000,bottom
"D30","D_Small","D_SOD-123",293.612500,-15.937500,90.000000,bottom
"D31","D_Small","D_SOD-123",5.481250,-39.750000,90.000000,bottom
"D32","D_Small","D_SOD-123",26.912500,-39.750000,90.000000,bottom
"D33","D_Small","D_SOD-123",45.962500,-39.750000,90.000000,bottom
"D34","D_Small","D_SOD-123",65.012500,-39.750000,90.000000,bottom
"D35","D_Small","D_SOD-123",84.062500,-39.750000,90.000000,bottom
"D36","D_Small","D_SOD-123",103.112500,-39.750000,90.000000,bottom
"D37","D_Small","D_SOD-123",122.162500,-39.750000,90.000000,bottom
"D38","D_Small","D_SOD-123",141.212500,-39.750000,90.000000,bottom
"D39","D_Small","D_SOD-123",160.262500,-39.750000,90.000000,bottom
"D40","D_Small","D_SOD-123",179.312500,-39.750000,90.000000,bottom
"D41","D_Small","D_SOD-123",198.362500,-39.750000,90.000000,bottom
"D42","D_Small","D_SOD-123",224.556250,-39.750000,90.000000,bottom
"D43","D_Small","D_SOD-123",10.243750,-58.800000,90.000000,bottom
"D44","D_Small","D_SOD-123",36.437500,-58.800000,90.000000,bottom
"D45","D_Small","D_SOD-123",55.487500,-58.800000,90.000000,bottom
"D46","D_Small","D_SOD-123",74.537500,-58.800000,90.000000,bottom
"D47","D_Small","D_SOD-123",93.587500,-58.800000,90.000000,bottom
"D48","D_Small","D_SOD-123",112.637500,-58.800000,90.000000,bottom
"D49","D_Small","D_SOD-123",131.687500,-58.800000,90.000000,bottom
"D50","D_Small","D_SOD-123",150.737500,-58.800000,90.000000,bottom
"D51","D_Small","D_SOD-123",169.787500,-58.800000,90.000000,bottom
"D52","D_Small","D_SOD-123",188.837500,-58.800000,90.000000,bottom
"D53","D_Small","D_SOD-123",207.887500,-58.800000,90.000000,bottom
"D54","D_Small","D_SOD-123",229.318750,-58.800000,90.000000,bottom
"D55","D_Small","D_SOD-123",274.562500,-58.800000,90.000000,bottom
"D56","D_Small","D_SOD-123",5.480000,-77.850000,90.000000,bottom
"D57","D_Small","D_SOD-123",29.290000,-77.850000,90.000000,bottom
"D58","D_Small","D_SOD-123",53.110000,-77.850000,90.000000,bottom
"D59","D_Small","D_SOD-123",124.540000,-77.850000,90.000000,bottom
"D63","D_Small","D_SOD-123",198.044450,-77.850000,90.000000,bottom
"D64","D_Small","D_SOD-123",212.650000,-77.850000,90.000000,bottom
"D65","D_Small","D_SOD-123",216.693750,-77.850000,90.000000,bottom
"D66","D_Small","D_SOD-123",255.512500,-77.850000,90.000000,bottom
"D67","D_Small","D_SOD-123",274.562500,-77.850000,90.000000,bottom
"D68","D_Small","D_SOD-123",293.612500,-77.850000,90.000000,bottom
"F1","500mA","Fuse_1206_3216Metric",149.638750,9.842500,90.000000,bottom
"R2","27","R_0603_1608Metric",246.372829,-32.807171,-45.000000,bottom
"R3","27","R_0603_1608Metric",245.312170,-33.867830,-45.000000,bottom
"R4","1k","R_0402_1005Metric",250.162500,-51.349375,90.000000,bottom
"R5","5.1k","R_0402_1005Metric",138.978750,16.072500,90.000000,bottom
"R6","5.1k","R_0402_1005Metric",150.118750,16.072500,90.000000,bottom
"R7","1M","R_0402_1005Metric",150.118750,18.072500,-90.000000,bottom
"R8","1k","R_0402_1005Metric",272.462500,-28.986000,-90.000000,bottom
"R9","1k","R_0402_1005Metric",245.842500,-52.387500,-90.000000,bottom
"Reset1","Reset Button","SW_SPST_SKQG_WithStem",271.462500,-24.644500,0.000000,bottom
"U1","RP2040","RP2040-QFN-56",252.412500,-42.862500,180.000000,bottom
"U2","SRV05-4","SOT-23-6-routable",144.548750,9.842500,0.000000,bottom
"U3","W25Q128JVS","SOIC-8_5.23x5.23mm_P1.27mm",271.462500,-33.337500,180.000000,bottom
"U4","XC6206PxxxMR","SOT-23",149.638750,4.762500,180.000000,bottom
"USB1","HRO-M-12","USB_C_Receptacle_HRO_TYPE-C-31-M-12",144.548750,17.987500,0.000000,bottom
"Y1","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",252.412500,-52.387500,90.000000,bottom
