"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C17,C19,C8,C20,C9,C13,C4,C14,C16,C15,C18,C12";"C_0402_1005Metric";12;"100nF";;;
2;"D57,D41,D46,D34,D3,D12,D5,D48,D65,D26,D39,D49,D10,D43,D16,D54,D58,D33,D7,D11,D47,D22,D30,D37,D42,D9,D24,D4,D25,D18,D55,D40,D66,D52,D13,D8,D17,D50,D59,D68,D28,D31,D14,D53,D35,D36,D6,D45,D2,D19,D51,D38,D27,D32,D67,D23,D56,D20,D15,D44,D63,D29,D64,D21";"D_SOD-123";64;"D_Small";;;
3;"R4,R9,R8";"R_0402_1005Metric";3;"1k";;;
4;"C11,C7,C6,C5";"C_0402_1005Metric";4;"1uF";;;
5;"R2,R3";"R_0603_1608Metric";2;"27";;;
6;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"12MHz";;;
7;"C2,C1";"C_0402_1005Metric";2;"22pF";;;
8;"U4";"SOT-23";1;"XC6206PxxxMR";;;
9;"F1";"Fuse_1206_3216Metric";1;"500mA";;;
10;"C10";"C_0402_1005Metric";1;"4.7uF";;;
11;"U3";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
12;"R7";"R_0402_1005Metric";1;"1M";;;
13;"USB1";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"HRO-M-12";;;
14;"C3";"C_0402_1005Metric";1;"4.7nF";;;
15;"U1";"RP2040-QFN-56";1;"RP2040";;;
16;"R6,R5";"R_0402_1005Metric";2;"5.1k";;;
17;"Reset1";"SW_SPST_SKQG_WithStem";1;"Reset Button";;;
18;"U2";"SOT-23-6-routable";1;"SRV05-4";;;
