Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,22pF,
C10,0402,1,4.7uF,
"C11, C5, C6, C7",0402,4,1uF,
"C12, C13, C14, C15, C16, C17, C18, C19, C20, C4, C8, C9",0402,12,100nF,
C3,0402,1,4.7nF,
"D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D63, D64, D65, D66, D67, D68, D7, D8, D9",D_SOD-123,64,D_Small,
F1,1206,1,500mA,
"R2, R3",0603,2,27,
"R4, R8, R9",0402,3,1k,
"R5, R6",0402,2,5.1k,
R7,0402,1,1M,
Reset1,SW_SPST_SKQG_WithStem,1,Reset Button,
U1,RP2040-QFN-56,1,RP2040,
U2,SOT-23-6-routable,1,SRV05-4,
U3,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U4,SOT-23,1,XC6206PxxxMR,
USB1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,HRO-M-12,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,
