Designator,Mid X,Mid Y,Rotation,Layer
C1,254.6625,-52.3875,90.0,bottom
C10,149.63875,1.5125,0.0,bottom
C11,245.8425,-37.425,180.0,bottom
C12,250.9125,-33.3375,90.0,bottom
C13,251.9125,-33.3375,90.0,bottom
C14,253.9125,-33.3375,90.0,bottom
C15,245.8425,-38.425,180.0,bottom
C16,245.8425,-39.425,180.0,bottom
C17,258.9825,-39.425,0.0,bottom
C18,245.8425,-43.8625,180.0,bottom
C19,258.9825,-43.8625,0.0,bottom
C2,250.1625,-53.349375,90.0,bottom
C20,246.8425,-52.3875,270.0,bottom
C3,138.97875,18.0725,270.0,bottom
C4,270.4625,-28.986,270.0,bottom
C5,149.63875,7.0125,0.0,bottom
C6,149.63875,2.5125,0.0,bottom
C7,245.8425,-36.425,180.0,bottom
C8,252.9125,-33.3375,90.0,bottom
C9,244.8425,-52.3875,270.0,bottom
D10,206.45,3.1125,90.0,bottom
D11,231.7,3.1125,90.0,bottom
D12,255.5125,3.1125,90.0,bottom
D13,274.5625,3.1125,90.0,bottom
D14,293.6125,3.1125,90.0,bottom
D15,3.1,-20.7,90.0,bottom
D16,22.15,-20.7,90.0,bottom
D17,41.2,-20.7,90.0,bottom
D18,60.25,-20.7,90.0,bottom
D19,79.3,-20.7,90.0,bottom
D2,22.15,-1.65,90.0,bottom
D20,98.35,-20.7,90.0,bottom
D21,117.4,-20.7,90.0,bottom
D22,136.45,-20.7,90.0,bottom
D23,155.5,-20.7,90.0,bottom
D24,174.55,-20.7,90.0,bottom
D25,193.6,-20.7,90.0,bottom
D26,206.45,-20.7,90.0,bottom
D27,231.7,-20.7,90.0,bottom
D28,255.5125,-15.9375,90.0,bottom
D29,274.5625,-15.9375,90.0,bottom
D3,41.2,-1.65,90.0,bottom
D30,293.6125,-15.9375,90.0,bottom
D31,5.48125,-39.75,90.0,bottom
D32,26.9125,-39.75,90.0,bottom
D33,45.9625,-39.75,90.0,bottom
D34,65.0125,-39.75,90.0,bottom
D35,84.0625,-39.75,90.0,bottom
D36,103.1125,-39.75,90.0,bottom
D37,122.1625,-39.75,90.0,bottom
D38,141.2125,-39.75,90.0,bottom
D39,160.2625,-39.75,90.0,bottom
D4,60.25,-1.65,90.0,bottom
D40,179.3125,-39.75,90.0,bottom
D41,198.3625,-39.75,90.0,bottom
D42,224.55625,-39.75,90.0,bottom
D43,10.24375,-58.8,90.0,bottom
D44,36.4375,-58.8,90.0,bottom
D45,55.4875,-58.8,90.0,bottom
D46,74.5375,-58.8,90.0,bottom
D47,93.5875,-58.8,90.0,bottom
D48,112.6375,-58.8,90.0,bottom
D49,131.6875,-58.8,90.0,bottom
D5,79.3,-1.65,90.0,bottom
D50,150.7375,-58.8,90.0,bottom
D51,169.7875,-58.8,90.0,bottom
D52,188.8375,-58.8,90.0,bottom
D53,207.8875,-58.8,90.0,bottom
D54,229.31875,-58.8,90.0,bottom
D55,274.5625,-58.8,90.0,bottom
D56,5.48,-77.85,90.0,bottom
D57,29.29,-77.85,90.0,bottom
D58,53.11,-77.85,90.0,bottom
D59,124.54,-77.85,90.0,bottom
D6,98.35,-1.65,90.0,bottom
D63,198.04445,-77.85,90.0,bottom
D64,212.65,-77.85,90.0,bottom
D65,216.69375,-77.85,90.0,bottom
D66,255.5125,-77.85,90.0,bottom
D67,274.5625,-77.85,90.0,bottom
D68,293.6125,-77.85,90.0,bottom
D7,117.4,-1.65,90.0,bottom
D8,174.55,3.1125,90.0,bottom
D9,193.6,3.1125,90.0,bottom
F1,149.63875,9.8425,90.0,bottom
R2,246.372829,-32.807171,315.0,bottom
R3,245.31217,-33.86783,315.0,bottom
R4,250.1625,-51.349375,90.0,bottom
R5,138.97875,16.0725,90.0,bottom
R6,150.11875,16.0725,90.0,bottom
R7,150.11875,18.0725,270.0,bottom
R8,272.4625,-28.986,270.0,bottom
R9,245.8425,-52.3875,270.0,bottom
Reset1,271.4625,-24.6445,0.0,bottom
U1,252.4125,-42.8625,180.0,bottom
U2,144.54875,9.8425,0.0,bottom
U3,271.4625,-33.3375,180.0,bottom
U4,149.63875,4.7625,180.0,bottom
USB1,144.54875,17.9875,0.0,bottom
Y1,252.4125,-52.3875,90.0,bottom
